"lon","lat","presence","multi_normalized.1","multi_normalized.2","multi_normalized.3","multi_normalized.4","multi_normalized.5","multi_normalized.6","multi_normalized.7","multi_normalized.8","multi_normalized.9","multi_normalized.10","multi_normalized.11"
-89.0413978,36.8621049,0,0.517589903486028,0.323321226014003,0.791626889468689,0.761944224113407,0.494466385762186,0.71043401355522,0.721049068172592,0.539444516596171,0.409591138173275,0.673642905234329,0.43097278933265
-88.9703208,38.4401577,1,0.583307961189782,0.291790030589841,0.793222860402188,0.735005096172825,0.632897173442298,0.644744649215839,0.713689931822018,0.507617242846346,0.39932261993692,0.649184913150362,0.544404175990793
-88.9472487,37.2950124,0,0.529110926966565,0.313983009829429,0.797202402484825,0.735972623066315,0.745787013872291,0.61593532784891,0.734922344057068,0.534874603449943,0.401401191767058,0.67812921862663,0.455287647513014
-88.9437782,37.3198861,1,0.529726285103489,0.313394415991522,0.800469567467348,0.743460683302221,0.638737922138573,0.670543367608472,0.685015334976234,0.516210684948851,0.426748998894981,0.683899114956085,0.453525499347684
-88.8800235,38.4982149,0,0.582223459017266,0.291136047542092,0.784420503065263,0.755545952474521,0.467445551730307,0.704173095525596,0.713052572985984,0.510753358843708,0.400176316927856,0.650101452765154,0.541435296562436
-88.86494,34.08999,0,0.470294496437246,0.323578442128404,0.782106688541333,0.703661777912177,0.502085870914043,0.700463015340279,0.68722504026004,0.557716004207943,0.408414706745019,0.628964473583984,0.356983089883827
-88.81929,34.15009,0,0.475673180083226,0.323128103420263,0.771395903537988,0.673715351424517,0.78061576911208,0.602141575328927,0.697439842767934,0.571961636177723,0.405696103310463,0.682111660359308,0.416824296706107
-88.8148959,35.3431047,1,0.494329281636121,0.316091519583394,0.82923744394448,0.699030456047719,0.6316234140807,0.709587504073972,0.557314947832324,0.509904519061894,0.433542553651127,0.654849977807966,0.371303303025897
-88.7825559,30.5101687,0,0.40262914519815,0.363620367530113,0.839625157731278,0.660903994413398,0.586672991408498,0.589456385890055,0.758548866141066,0.40970862826473,0.371636631484719,0.592770482293005,0.36058378955022
-88.7352209,43.4565557,1,0.672103379547267,0.246679482725403,0.807516238224825,0.677973075794839,0.55611036976216,0.552061553280563,0.714097926000542,0.461942618976798,0.389318902507605,0.554261657405189,0.609793130113914
-88.7095809,42.9178507,1,0.665682244272351,0.246575672028124,0.864405966441498,0.653906484505827,0.623996741719738,0.593260929569609,0.555493106271493,0.408919085398996,0.418586036777162,0.553783818266732,0.599013669255146
-88.7042539,44.0331367,1,0.679195770584792,0.243018805383824,0.812629171001633,0.68724254293963,0.440603158282218,0.623347274246979,0.693491275371354,0.455690583785417,0.396447147072847,0.553425240478342,0.602477090408268
-88.704253,44.0331367,0,0.679195770584792,0.243018805383824,0.812629171001633,0.68724254293963,0.440603158282218,0.623347274246979,0.693491275371354,0.455690583785417,0.396447147072847,0.553425240478342,0.602477090408268
-88.6754284,40.8985328,1,0.629987422893338,0.256451713265412,0.828369025726353,0.681944443470291,0.72892157362523,0.539643962281894,0.706368315259858,0.453232198783299,0.400529240448394,0.537761161264612,0.559508934796037
-88.6286329,45.3745537,1,0.690217682093046,0.251664404629356,0.753385035338361,0.701091627943054,0.469082320913484,0.531986471722605,0.710486333770816,0.470345311378703,0.388989067123315,0.60589386298594,0.608365870572292
-88.5903464,41.311436,1,0.637632716523932,0.255493165354862,0.849953318244539,0.670321744372661,0.731241575905085,0.560857034006136,0.638291108103167,0.434228989828439,0.414336733568878,0.548316893539391,0.563309242673896
-88.58442,50.49552,0,0.744928502559093,0.273300839594893,0.79102552021673,0.754481164687221,0.369590932977922,0.55675755243847,0.652701695988694,0.516990466715769,0.371935030782695,0.638643457710001,0.532218524392762
-88.5743214,41.530722,1,0.638173452278976,0.261061326498827,0.803156238483226,0.694559921410641,0.648780781833844,0.524867107403419,0.757757203819239,0.468216949248444,0.389328943485787,0.555085479004844,0.590345130152433
-88.5637682,40.7143846,1,0.628592043370449,0.256332179117648,0.83022631506251,0.702701756148972,0.555712587634244,0.624228599917008,0.673470783921265,0.447172063980677,0.409641433530576,0.535053305538677,0.545440512301349
-88.5617669,42.2186307,0,0.641654330039685,0.259112148802414,0.801374687652565,0.710424963270976,0.386375278555836,0.599261625055537,0.731152889546504,0.456810004882208,0.387261371104962,0.548838523016047,0.591844129561198
-88.5584799,40.0787817,1,0.605566147363067,0.269685452703256,0.82159093002658,0.725456324859902,0.508360229262341,0.624066698237003,0.715402680526097,0.461219078522709,0.398706120895348,0.550164600300305,0.5133353098303
-88.4804309,43.6162427,1,0.677119610817188,0.247561298660759,0.820788859809979,0.655339613419943,0.622727617664624,0.556386565197029,0.660343276567353,0.433102401101827,0.40117296255599,0.545262005533655,0.60458804788434
-88.4356718,41.5971421,0,0.637200943073746,0.262084139631865,0.807929502517299,0.705133625805806,0.528229334849965,0.580898744409305,0.731551913865401,0.464044121126735,0.392432835014966,0.560487975569737,0.587396609171826
-88.399331,42.221331,0,0.64353343099683,0.261595833528695,0.817855831586656,0.67885048312015,0.649781828176514,0.510837428235817,0.731310562098162,0.450658264838956,0.377832330019929,0.539779743636915,0.587085545901234
-88.3459559,47.1191407,1,0.674032187135472,0.281607617484779,0.797756338463039,0.733117732136933,0.582856170109605,0.678005242718965,0.658874589067353,0.459574154946268,0.409924208322566,0.527885172218558,0.47983826829947
-88.3351209,43.6599137,1,0.677577674893735,0.24985027402174,0.82715403011855,0.667359454394533,0.475627545389765,0.63308365693504,0.623297459629432,0.42301854670103,0.405080212165097,0.536068829725154,0.610710191551833
-88.31655,49.30887,0,0.72070837178711,0.276693045207821,0.805826890902586,0.722003306335801,0.663564187295359,0.523914465140986,0.638711653458697,0.501608151591678,0.389325187872732,0.613990841008186,0.527003317367707
-88.2762261,42.9592306,0,0.663137160204176,0.252492532382859,0.81365180951284,0.682889392340135,0.510836625190774,0.60534720522155,0.690157401354709,0.437740977219397,0.406141242685624,0.530857609262015,0.60682589228023
-88.1879809,41.9335847,1,0.636085040893327,0.259873725896293,0.808606954240084,0.703610223283795,0.461470267633585,0.597639518357813,0.73654159144341,0.452704502450172,0.388197515774448,0.532947611613329,0.576600382625413
-88.1852819,41.1663407,1,0.634030404435202,0.259522763480635,0.824037097222819,0.692681887911314,0.636913733553268,0.564758852261879,0.716841715833757,0.460429821375022,0.39560198090306,0.546803910021696,0.565129814429767
